기준년도,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,차량등록대수,교통사고수,비율(퍼센트)
"2021","3000000000","대전광역시","3020000000","유성구","3020054700","노은2동","3020013800","외삼동","346","29","8.38"
"2021","3000000000","대전광역시","3020000000","유성구","3020054700","노은2동","3020012000","지족동","5098","208","4.08"
"2021","3000000000","대전광역시","3020000000","유성구","3020054700","노은2동","3020013200","하기동","4547","76","1.67"
"2021","3000000000","대전광역시","3020000000","유성구","3020054000","온천2동","3020012200","궁동","1903","487","25.59"
"2021","3000000000","대전광역시","3020000000","유성구","3020054000","온천2동","3020012100","죽동","4900","77","1.57"
"2021","3000000000","대전광역시","3020000000","유성구","3020054000","온천2동","3020012400","구성동","272","108","39.71"
"2021","3000000000","대전광역시","3020000000","유성구","3020054000","온천2동","3020012300","어은동","3298","73","2.21"
"2021","3000000000","대전광역시","3020000000","유성구","3020054000","온천2동","3020011700","장대동","5932","923","15.56"
"2021","3000000000","대전광역시","3020000000","유성구","3020054800","노은3동","3020013900","반석동","5273","269","5.10"
"2021","3000000000","대전광역시","3020000000","유성구","3020054800","노은3동","3020012000","지족동","11135","195","1.75"
